ds,yhat,yhat_lower,yhat_upper
2018-06-26,44.79461298797974,34.731192571599436,55.07437416700299
2018-06-27,45.02184450474799,34.74098429190311,54.87708966854797
2018-06-28,45.289646145617944,35.805192242565944,55.38427647784311
2018-06-29,45.63373118020207,36.0160816635136,55.80113098020483
2018-07-02,46.80980620917111,37.414977453395,57.410830033991864
2018-07-03,47.09154729759181,36.83088599138913,57.255062029504074
2018-07-05,47.67893222108984,36.91513586817616,57.63271159987627
2018-07-06,48.05249621758047,37.77181133861023,58.23720513875434
2018-07-09,49.226385828084034,39.94094181158844,59.605380212915506
2018-07-10,49.47203699299616,39.88428175855985,59.258227382429126
2018-07-11,49.694798073979356,40.48938473186684,60.66481631557324
2018-07-12,49.928677354221215,40.123661921694264,60.206831310627045
2018-07-13,50.207254662731515,40.52691507148036,60.419686806686684
2018-07-16,50.98589727746912,41.21516085572224,61.02266898002442
2018-07-17,51.06816356713133,41.25648280514631,60.305787763023304
2018-07-18,51.11544368989366,40.998157527435296,61.162734389417395
2018-07-19,51.16459784302432,42.13050033419385,60.82862368204532
2018-07-20,51.25239602404509,40.49684623328569,60.87011264363494
2018-07-23,51.457862357903494,41.31198638038749,61.675469591306936
2018-07-24,51.361239388135054,41.530673949873,61.1384423923383
2018-07-25,51.241936574521624,40.82814975970898,61.48535010323344
2018-07-26,51.14034934057473,41.11149102901509,61.56724827116842
2018-07-27,51.09652093317335,42.31554363328058,61.90986781145491
2018-07-30,51.04878857614153,40.65858140285576,60.61990694505242
2018-07-31,50.92154567318771,40.11358576147915,60.35620054948648
2018-08-01,50.800349615083306,40.44538609359799,60.83101000085941
2018-08-02,50.72573981041917,40.91814474885832,60.00770611968235
2018-08-03,50.73722900747706,40.9271280868328,60.324088041687716
2018-08-06,51.01009292890446,40.501696348362096,60.627094965336504
2018-08-07,51.03292862573744,41.513178629651314,61.12909080491125
2018-08-08,51.077805379552586,40.68745515735556,60.56331134872986
2018-08-09,51.18116368700713,40.558881622695864,61.698811589032736
2018-08-10,51.37804483782482,41.17812008001478,60.98066848542748
2018-08-13,52.20341340798245,42.29897425676143,62.12228325973154
2018-08-14,52.392714805444115,42.09683225429582,62.47022778286718
2018-08-15,52.587158541594796,42.42499583906026,62.49650708983404
2018-08-16,52.81870896445781,42.507057504937634,63.77715709215158
2018-08-17,53.118317476505545,42.75932495701175,62.98961944710439
2018-08-20,54.065973761544136,44.244602245137806,64.99377650529723
2018-08-21,54.226194378171726,44.69043788443707,64.63550701760413
2018-08-22,54.354488665895076,44.023899297216516,64.79376601796905
2018-08-23,54.482691521691834,44.6809738481779,64.2469577273259
2018-08-24,54.64242038819363,44.997015571319615,65.43926540243109
2018-08-27,54.96954784299142,44.76033783652494,65.71252416910387
2018-08-28,54.86568102609224,44.834506191416295,64.37783368285828
2018-08-29,54.7077248980773,44.21709682951974,64.67794757885973
2018-08-30,54.532182738824034,44.7533774671047,64.14905830703643
2018-08-31,54.375734223698316,45.20655578492363,64.2414399750222
2018-09-04,53.318729794591405,43.09682360804648,63.719513981054334
2018-09-05,52.864242631114706,42.57767667899279,62.71453656874306
2018-09-06,52.411986670957134,42.85134848433125,62.363588380220634
2018-09-07,52.003246981283894,42.90235519372562,61.73236712481634
2018-09-10,50.78916259063516,40.451832246473856,61.372941208756735
2018-09-11,50.25422653677608,40.231372714888316,60.13159272037602
2018-09-12,49.71849218031303,39.87796852902481,59.63023349321964
2018-09-13,49.224120811320134,39.09375011619271,58.81417285382961
2018-09-14,48.8122766135998,38.120949491483366,58.532621255817084
2018-09-17,47.81064202703524,37.83121381300055,57.32538672590261
2018-09-18,47.41293987203488,37.77925598495068,56.66987980988374
2018-09-19,47.042410147781126,36.77522867087718,56.858027843267934
2018-09-20,46.7373439804733,37.25007149998502,57.467718230842756
2018-09-21,46.534678241206215,36.348272082314736,57.363971496504206
2018-09-24,46.23431967140704,36.10497759514928,55.98433985728433
2018-09-25,46.079445601003314,36.42009893726466,55.724211887402504
2018-09-26,45.94871124713746,36.56221745457305,56.60935973726679
2018-09-27,45.87618429358373,35.34137818119604,55.89120404694811
2018-09-28,45.89491227779171,35.707336452131365,55.948190920847736
2018-10-01,46.15946531796314,34.99871561426167,56.61177434394078
2018-10-02,46.151550258357034,36.53146458711871,56.13225827785957
2018-10-03,46.144371908864265,35.773076272628074,55.814345725898384
2018-10-04,46.17123246310076,36.17310029453876,56.403844929269496
2018-10-05,46.264992076355654,36.177505906996224,55.56934275948734
2018-10-08,46.61476938831173,36.43221148938401,56.883269001716634
2018-10-09,46.5931502630859,36.814318555758405,56.63178353723183
2018-10-10,46.55448696928373,35.94894492472898,57.220486482516385
2018-10-11,46.534521182563324,36.862904141049846,56.507546273790474
2018-10-12,46.56876713524299,36.712327685229134,57.75232289006668
2018-10-15,46.69203860646457,35.7528565350035,56.73582264543935
2018-10-16,46.588331367512986,36.29369513264595,56.270735329937075
2018-10-17,46.46875051700856,35.949048801912966,56.55843109760037
2018-10-18,46.371442449787985,36.08208759214657,56.19115978214343
2018-10-19,46.3340707818078,36.30424534298896,55.84948961555123
2018-10-22,46.29373388673873,36.22334881157489,56.75934171023688
2018-10-23,46.15651297390906,35.54782551688964,56.25631156937702
2018-10-24,46.01502470103242,35.76638817172306,56.0048654859036
2018-10-25,45.907558316311196,36.36637511971158,56.281626641982186
2018-10-26,45.87160289001997,34.54748146069357,55.87668634634934
2018-10-29,45.89912085848191,35.40213132895166,56.10862664051562
2018-10-30,45.80268704350742,36.04021588754961,55.93525955081326
2018-10-31,45.70916987502988,35.76112764255334,55.923828718404735
2018-11-01,45.65558981356326,35.52701072516019,55.19804048052342
2018-11-02,45.67814947263871,35.7123927880604,55.735841409220626
2018-11-05,45.89679529798767,35.794904890696266,56.06228374279237
2018-11-06,45.865698002198435,35.48124565371084,55.94887849765725
2018-11-07,45.83690382081993,35.77832719754124,55.99383626253193
2018-11-08,45.846835990438755,35.318271593551714,55.74194297151039
2018-11-09,45.93128837541845,36.49787242470312,55.89459766639444
2018-11-12,46.32459212081295,36.28461288666159,56.54312321699103
2018-11-13,46.348448893998786,36.26848762627798,56.904220612031395
2018-11-14,46.373526734475846,36.62965742414597,56.83987720008361
2018-11-15,46.43672607800937,35.92529068325938,55.9832842715241
2018-11-16,46.5743670461383,36.41405681962327,56.707788988845536
2018-11-19,47.13194811824552,36.54066395985502,56.807857177301955
2018-11-20,47.21356225025476,36.51780389400359,56.853176333034504
2018-11-21,47.29833121838018,37.70886638532434,57.15424050454618
2018-11-23,47.62426163105638,36.83837224917084,57.420645605599674
2018-11-26,48.40067324795385,38.05771094033108,58.467130858020205
2018-11-27,48.55442476531456,38.40440788706635,58.28424445798837
2018-11-28,48.70901491160524,38.70372313785827,57.947306116796035
2018-11-29,48.899931419659495,38.9111932984742,59.27673400550105
2018-11-30,49.16173121973644,37.85592772325406,59.490938339791306
2018-12-03,50.0480052831214,39.862824003312774,59.82400751469057
2018-12-04,50.21578114507568,40.25107041933137,59.666295696139635
2018-12-06,50.544907535599236,41.044825767546214,61.01721073667918
2018-12-07,50.773204282761284,40.31802642820408,61.39523603872877
2018-12-10,51.443709644978654,40.88097949484934,61.92026616021507
2018-12-11,51.49893649845882,40.942714063924164,61.86897719057117
2018-12-12,51.52018640456362,41.155578388737005,61.03187869189466
2018-12-13,51.541742790759685,41.5470842134056,62.018667167548266
2018-12-14,51.59752962419471,41.5720849479728,61.53087206238143
2018-12-17,51.64908417249636,41.74400254717968,62.043833135706194
2018-12-18,51.47086562274323,41.2806469160724,61.8232745784689
2018-12-19,51.249308834935135,40.95758428317656,60.66755736357123
2018-12-20,51.021659553858804,40.66140360613306,61.033474301102814
2018-12-21,50.825031891031216,39.85160562782706,60.61023963106629
2018-12-24,50.134212336640275,39.82115136366985,60.87552539955701
